Question,Generated SQL,Ground Truth SQL,Generated SQL Output,Error Classification,Similarity Analysis
How many transactions were made by each customer type?,"SELECT Customer_type, COUNT(Invoice_ID) AS transaction_count FROM sales GROUP BY Customer_type ORDER BY transaction_count;","SELECT Customer_type, COUNT(Invoice_ID) FROM sales GROUP BY Customer_type;","  Customer_type  transaction_count
0        Normal                499
1        Member                501",Correct,Wrong Answer
Which branch made the highest number of sales?,"SELECT Branch, COUNT(Invoice_ID) AS sales_count FROM sales GROUP BY Branch ORDER BY sales_count DESC LIMIT 1;","SELECT Branch, SUM(quantity) AS sales_count FROM sales GROUP BY Branch ORDER BY sales_count DESC LIMIT 1;","  Branch  sales_count
0      A          340",Wrong Answer,Almost Correct
What is the earliest sale date recorded?,SELECT MIN(Date) AS earliest_sale_date FROM sales;,SELECT MIN(Date) AS earliest_date FROM sales;,"  earliest_sale_date
0         2019-01-01",Correct,Almost Correct
What is the most recent sale date recorded?,SELECT MAX(Date) AS most_recent_sale_date FROM sales;,SELECT MAX(Date) AS latest_date FROM sales;,"  most_recent_sale_date
0            2019-03-30",Correct,Almost Correct
Which gender purchases the most products?,"SELECT Gender, COUNT(Product_line) AS product_count FROM sales GROUP BY Gender ORDER BY product_count DESC;","SELECT Gender, SUM(Quantity) AS total_quantity FROM sales GROUP BY Gender ORDER BY total_quantity DESC LIMIT 1;","   Gender  product_count
0  Female            501
1    Male            499",Wrong Answer,Wrong Answer
What is the total revenue generated by each product line?,"SELECT Product_line, SUM(Total) AS total_revenue FROM sales GROUP BY Product_line ORDER BY total_revenue DESC;","SELECT Product_line, SUM(Total) AS revenue FROM sales GROUP BY Product_line ORDER BY revenue DESC;","             Product_line total_revenue
0      Food and beverages    56144.8440
1       Sports and travel    55122.8265
2  Electronic accessories    54337.5315
3     Fashion accessories    54305.8950
4      Home and lifestyle    53861.9130
5       Health and beauty    49193.7390",Correct,Almost Correct
What is the most commonly purchased product line for each city?,"SELECT City, Product_line, COUNT(*) AS purchase_count FROM sales GROUP BY City, Product_line ORDER BY purchase_count DESC;","WITH ranked_sales AS ( SELECT city, product_line,COUNT(*) AS purchase_count, RANK() OVER (PARTITION BY city ORDER BY COUNT(*) DESC) AS rank1 FROM sales GROUP BY city, product_line) SELECT city, product_line, purchase_count FROM ranked_sales WHERE rank1 = 1;","         City            Product_line  purchase_count
0   Naypyitaw      Food and beverages              66
1      Yangon      Home and lifestyle              65
2   Naypyitaw     Fashion accessories              65
3    Mandalay     Fashion accessories              62
4    Mandalay       Sports and travel              62
5      Yangon  Electronic accessories              60
6      Yangon       Sports and travel              59
7      Yangon      Food and beverages              58
8   Naypyitaw  Electronic accessories              55
9    Mandalay  Electronic accessories              55
10   Mandalay       Health and beauty              53
11  Naypyitaw       Health and beauty              52
12     Yangon     Fashion accessories              51
13   Mandalay      Food and beverages              50
14   Mandalay      Home and lifestyle              50
15     Yangon       Health and beauty              47
16  Naypyitaw      Home and lifestyle              45
17  Naypyitaw       Sports and travel              45",Wrong Answer,Wrong Answer
Which product line has the highest average rating?,"SELECT Product_line, AVG(Rating) AS avg_rating FROM sales GROUP BY Product_line ORDER BY avg_rating DESC LIMIT 1;","SELECT Product_line, AVG(Rating) AS avg_rating FROM sales GROUP BY Product_line ORDER BY avg_rating DESC LIMIT 1;","         Product_line  avg_rating
0  Food and beverages     7.11322",Correct,Almost Correct
Calculate the revenue per unit for each product line.,"SELECT Product_line, AVG(Total) AS revenue_per_unit FROM sales GROUP BY Product_line;","SELECT Product_line, SUM(Total)/SUM(Quantity) AS revenue_per_unit FROM sales GROUP BY Product_line;","             Product_line revenue_per_unit
0      Food and beverages     322.67151724
1       Health and beauty     323.64301974
2       Sports and travel     332.06521988
3     Fashion accessories     305.08929775
4      Home and lifestyle     336.63695625
5  Electronic accessories     319.63253824",Wrong Answer,Almost Correct
How does the quantity sold vary across different times of the day?,"SELECT HOUR(Time) AS hour, AVG(Quantity) AS avg_quantity FROM sales GROUP BY hour ORDER BY avg_quantity DESC;","SELECT HOUR(Time) AS hour, SUM(Quantity) AS total_quantity FROM sales GROUP BY hour ORDER BY total_quantity DESC;","    hour avg_quantity
0     14       5.9639
1     19       5.7434
2     11       5.7000
3     13       5.6796
4     12       5.6292
5     17       5.6081
6     16       5.4545
7     20       5.3600
8     10       5.1980
9     15       5.1961
10    18       5.1075",Wrong Answer,Almost Correct
